Longitude	Latitude
-178.475	-30.21
-177.92	-29.27
-175.65	-21.338
-175.63	-15.6
-175.508	52.177
-175.382	-20.536
-175.07	-19.75
-172.525	-13.612
-169.944	52.825
-169.618	-14.175
-168.693	53.13
-168.13	53.43
-164.65	54.516
-163.97	54.756
-159.38	56.17
-158.785	56.552
-158.17	56.88
-155.87	19.692
-155.608	19.475
-155.287	19.421
-155.157	58.27
-153.43	59.363
-152.742	60.485
-152.251	61.299
-141.75	61.38
-128.9	55.12
-122.18	46.2
-121.695	45.374
-110.67	44.43
-104.508	21.125
-103.62	19.514
-101.75	19.85
-98.622	19.023
-93.228	17.36
-91.552	14.757
-91.408	-0.92
-90.88	14.473
-90.601	14.382
-89.633	13.813
-89.63	13.853
-89.294	13.734
-89.053	13.672
-87.57	12.98
-87.004	12.702
-86.702	12.506
-86.342	12.242
-86.165	11.985
-85.968	11.826
-85.515	11.446
-85.324	10.83
-84.703	10.463
-83.852	9.979
-78.9	-0.85
-78.598	-0.171
-78.442	-1.467
-78.436	-0.677
-78.341	-2.005
-77.656	-0.077
-77.37	1.22
-76.936	1.5
-76.83	-33.62
-76.4	2.32
-76.03	2.93
-75.324	4.892
-72.97	-45.9
-72.65	-15.52
-72.646	-42.833
-72.618	-41.33
-72.117	-40.59
-72.07	-40.35
-71.93	-39.42
-71.729	-38.692
-71.586	-38.379
-70.903	-16.355
-70.85	-16.608
-62.8	17.37
-62.18	16.72
-61.664	16.044
-61.64	12.3
-61.18	13.33
-61.166	14.809
-61.0	10.0
-60.652	-63.001
-28.713	38.576
-28.4	38.47
-28.08	38.65
-25.32	37.77
-24.35	14.95
-22.717	63.817
-22.067	63.917
-20.266	63.416
-19.666	63.983
-19.633	63.633
-19.083	63.633
-17.83	28.57
-17.516	64.633
-17.316	64.416
-16.783	65.033
-16.728	65.715
-16.65	64.0
-16.641	28.271
-16.583	64.25
-13.63	29.03
9.17	4.203
10.5	6.25
13.897	40.73
14.139	40.827
14.426	40.821
14.999	37.748
15.213	38.789
25.396	36.404
29.2	-1.408
29.25	-1.52
33.792	-9.229
35.914	-2.764
37.25	27.08
39.137	8.159
39.93	8.975
40.573	12.888
41.63	11.28
41.7	13.37
41.809	13.579
41.83	15.55
42.75	14.02
43.38	-11.75
44.08	15.63
44.3	39.7
55.708	-21.244
96.289	4.903
98.392	3.17
98.5	25.23
99.539	0.686
100.474	-0.38
102.615	-3.522
103.121	-4.016
105.423	-6.102
106.733	-6.716
107.6	-6.77
107.73	-7.32
107.841	-7.143
108.058	-7.25
108.408	-6.895
109.014	10.158
109.879	-7.2
110.446	-7.54
112.314	-7.935
112.922	-8.108
112.95	-7.942
113.341	-7.981
114.056	-8.119
114.242	-8.058
115.375	-8.242
115.508	-8.343
116.47	-8.42
118.0	-8.25
120.35	15.13
120.993	14.002
121.1	17.32
121.601	-0.162
121.641	-8.891
121.708	-8.32
121.82	-8.77
121.83	24.0
122.202	19.077
122.455	-8.676
122.775	-8.542
123.132	10.412
123.573	-8.532
123.685	13.257
124.056	12.769
124.13	-8.508
124.507	7.691
124.673	9.203
124.737	1.112
124.792	1.358
124.865	1.352
124.892	6.113
125.37	2.3
125.407	2.781
125.447	3.689
125.491	3.138
127.33	0.8
127.4	0.32
127.53	1.38
127.894	1.693
128.08	41.98
128.223	27.881
128.675	-7.125
129.144	-6.976
129.881	-4.523
130.017	-6.312
130.217	30.443
130.299	32.761
130.305	30.793
130.657	31.593
130.862	31.934
131.104	32.884
137.48	35.893
137.587	36.227
137.59	36.571
138.036	36.921
138.523	36.406
138.528	36.618
138.728	35.361
139.021	35.233
139.193	36.56
139.367	41.51
139.394	34.724
139.526	34.094
139.759	32.458
139.766	33.137
139.85	32.1
139.963	37.125
140.049	39.099
140.051	31.44
140.072	37.601
140.244	37.735
140.281	37.647
140.303	30.484
140.44	38.144
140.677	42.063
140.734	38.729
140.757	39.964
140.839	42.544
140.877	40.659
141.166	41.805
141.38	42.688
142.686	43.418
142.854	43.664
144.588	-3.608
144.818	-3.613
145.037	-4.08
145.406	19.671
145.85	16.88
145.976	-4.647
147.12	-5.358
147.35	-2.38
147.892	-5.592
148.115	-5.519
148.15	-8.95
149.07	-9.2
150.094	-5.094
150.516	-5.576
151.33	-5.05
152.203	-4.271
153.2	48.092
153.25	48.292
154.182	48.873
154.508	49.12
154.98	-5.92
155.196	-6.137
155.225	-6.092
155.565	50.861
157.572	51.844
157.979	-8.991
158.196	52.449
158.28	52.7
158.836	53.256
159.443	54.049
159.82	-9.13
160.326	55.832
160.595	55.972
160.642	56.056
161.36	56.653
165.804	-10.386
167.835	-15.389
168.12	-16.25
168.37	-16.68
168.536	-16.829
169.447	-19.532
175.57	-39.28
176.0	-38.82
176.5	-38.12
177.18	-37.52
